respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.0559080350917719,0.29149024344603514
26708,0.0479039345305444,0.045313019002877396
26709,0.43148750282384524,0.5835133721712372
26710,0.4987319579220886,0.8808787956761243
26711,0.16217247837379153,0.4688339244117249
26712,0.45598154094327614,0.923451606460656
26713,0.3416743372154499,0.5789833683974709
26714,0.14610983902773012,0.2222287479472199
26715,0.040767662881433485,0.15413660533595286
26716,0.2135416276854285,0.8884390365799535
26717,0.011674723517933418,0.27446263848292696
26718,0.220125222351892,0.5493546286973299
26719,0.07393153086446734,0.917664443587377
26720,0.0675550626277142,0.2235099029304018
26721,0.32052976294819796,0.34500591610371945
26722,0.07820795279132474,0.09316181909521737
26723,0.6684866527350405,0.8585216027999194
26724,0.12449661982881888,0.6412331110739359
26725,0.025911349781800198,0.06593262192678731
26726,0.013131600236707588,0.03203395092198214
26727,0.35214024451075404,0.848459915056801
26728,0.17121122319356477,0.6022388444964197
26729,0.42814858584522386,0.9137637147284985
26730,0.03726118836821571,0.19916010420083502
26731,0.020227650268557877,0.34700287056761125
26732,0.08707981897784585,0.07240605734652404
26733,0.9208343968902037,0.9543157684108652
26734,0.8848428621221118,0.39008798417562623
26735,0.15173421508958623,0.48637877416219555
26736,0.05940197196359488,0.1677480765360287
26737,0.08350544942513674,0.10239883704334939
26738,0.5888671547879718,0.834606912282852
26739,0.12174674727242765,0.27750615651647703
26740,0.12632872098149198,0.13188041960456667
26741,0.20713707166694545,0.9022465335775611
26742,0.1036248200259281,0.43949079940503305
26743,0.04516724744887881,0.5727399069348887
26744,0.05774883221940266,0.6635334942508364
26745,0.10671852211724024,0.9360611943585369
26746,0.11510977935597003,0.34755213860790857
26747,0.06979847251585379,0.17868646390299855
26748,0.09507609844046895,0.03519009352623805
26749,0.10776787441569868,0.7047387619359101
26750,0.6631276963504944,0.9286338062096919
26751,0.3050047882470881,0.7238526920945897
26752,0.0250814627168172,0.019259479881551307
26753,0.22073474419324127,0.6895276266579664
26754,0.13325051655785472,0.6442397239382881
26755,0.09292274749904342,0.3641555969054213
26756,0.01931221910733673,0.03297022331718655
26757,0.3799247243073478,0.5063721660366857
26758,0.7011291337685139,0.89541231274754
26759,0.03935221425352088,0.22377586801154614
26760,0.013619857275865867,0.02690740286402952
26761,0.1672929025722232,0.6099140007770105
26762,0.1307820504690984,0.8271229607965177
26763,0.8972152144613356,0.9711677681809266
26764,0.9231542570602268,0.9673454815905982
26765,0.02983457803147154,0.6898227019732636
26766,0.09806976857036621,0.18504126885474598
26767,0.7739526419737673,0.7564982049411411
26768,0.01252688165315517,0.4134275465540484
26769,0.11784729712139463,0.1602968586107201
26770,0.08854470766345654,0.5236639040936116
26771,0.047785391605535486,0.1951338640184253
26772,0.0537194987627234,0.431629430110381
26773,0.013689320947379792,0.4803824584292696
26774,0.029218198044624152,0.5633826540450914
26775,0.07916871227084264,0.5230694122314561
26776,0.37832276257962844,0.30561611030950875
26777,0.10354581571604257,0.948067016785657
26778,0.11531315539577296,0.09163126772713634
26779,0.12519265550469155,0.5152440742445724
26780,0.10647140186897584,0.9643949194231243
26781,0.041165496709287916,0.4765641499376197
26782,0.04664482476900786,0.28480524252187184
26783,0.0666044981527164,0.3073078564654935
26784,0.4184521606292757,0.8901904802089224
26785,0.33838202494747216,0.5737094380125006
26786,0.08506146374983552,0.28930021156585584
26787,0.09566351566973347,0.4889314539791933
26788,0.09968542823561065,0.9124730276838185
26789,0.011571767574586347,0.23615747145183022
26790,0.06490550652667597,0.28656257196558793
26791,0.07964861669602971,0.1256597777301301
26792,0.19866419772115115,0.7476339219921521
26793,0.12126737596178785,0.8995550423089769
26794,0.7732526515764231,0.8948362996601136
26795,0.04985201086860041,0.958311281056049
26796,0.07705465827798032,0.059908621566844754
26797,0.11053883091215572,0.6425067202253649
26798,0.20569947009145403,0.15921831592409313
26799,0.2596159958393597,0.20597045690511812
26800,0.0345710445693102,0.9202763949402762
26801,0.25584641798381746,0.4099951356856197
26802,0.07675536431735683,0.15419687598264734
26803,0.06551303650341687,0.17712908942112401
26804,0.07256598027100013,0.12627140046321586
26805,0.08562285914156252,0.2157179910912053
26806,0.08005387147307803,0.9177443375924556
26807,0.6850673697096149,0.9590301020488011
26808,0.27312524643065644,0.5890691856734774
26809,0.73789712365543,0.14234530019633465
26810,0.04223925508556861,0.112430061473886
26811,0.04714420399108732,0.05379963823518819
26812,0.1660906049707623,0.6366977334796607
26813,0.3361293676850177,0.32580617912412885
26814,0.033349709118085255,0.4908917794692201
26815,0.03984749152491469,0.0860214249192622
26816,0.05250140949420671,0.22041330140171933
26817,0.17142435515486082,0.7763491177652949
26818,0.056744886936868646,0.2776078513761709
26819,0.410954235795843,0.43206007793238715
26820,0.08002111560193635,0.26898256532229187
26821,0.0864380813554088,0.5407702246491456
26822,0.2754596253887277,0.636113225249032
26823,0.44955982527272026,0.5847779179331398
26824,0.03720681476879643,0.6896839980076733
26825,0.3600881726919331,0.7340618841446155
26826,0.08991465192038202,0.7540011559187421
